title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/AdamStar9/my-todo-app.git;1.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://github.com/AdamStar9/Portfolio.git;2.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/AdamStar9/PDF-Template.git;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/AdamStar9/PDF_Invoices.git;4.png
Positive News Site;A website that gets data from a news API and uses sentiment analysis to publish only positive news.;https://github.com/AdamStar9/news_api_email.git;5.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/AdamStar9/weather_api.git;6.png
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://github.com/AdamStar9/Tour_scraper.git;8.png
Helper Chatbot;A chatbot that knows about a specific topic and answers questions regarding that topic.;https://github.com/AdamStar9/chat_gpt.git;9.png
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://github.com/AdamStar9/Webcam_Motitor_Detection.git;11.png
Book Analyzer;A program that analyze the book and returns the most typed words.;https://github.com/AdamStar9/Book_analysis.git;12.png
Insurance Management System;A desktop PyQt6 GUI app for managing insurance data with an SQL database backend. This was my final project with IT Network.;https://github.com/AdamStar9/Insurance-System-App.git;17.png
Job Application and Admin env with Django;A desktop PyQt6 GUI app for managing complex university data with an SQL database backend.;https://github.com/AdamStar9/Job_Application_Django.git;18.png
